(house, casa)
(dog, perro)
(homework, tarea)
(woman, mujer)
(town, pueblo)
(yes, sí)
(man, hombre)
(boy, niño)
(girl, niña)
(cat, gato)
(bird, pájaro)
(fish, pez)
(book, libro)
(notebook, cuaderno)
(pen, bolígrafo)
(pencil, lápiz)
(school, escuela)
(teacher, maestro)
(student, estudiante)
(friend, amigo)
(family, familia)
(mother, madre)
(father, padre)
(brother, hermano)
(sister, hermana)
(water, agua)
(food, comida)
(bread, pan)
(milk, leche)
(coffee, café)
(apple, manzana)
(orange, naranja)
(car, coche)
(street, calle)
(city, ciudad)
(country, país)
(sun, sol)
(moon, luna)
(day, día)
(night, noche)
(hello, hola)
(goodbye, adiós)
(please, por favor)
(thanks, gracias)
(sorry, lo siento)
(where, dónde)
(when, cuándo)
(why, por qué)
(what, qué)
(who, quién)
(how, cómo)
(big, grande)
(small, pequeño)
(hot, caliente)
(cold, frío)
(fast, rápido)
(slow, lento)
(happy, feliz)
(sad, triste)
(easy, fácil)
(difficult, difícil)
(new, nuevo)
(old, viejo)
(young, joven)
(clean, limpio)
(dirty, sucio)
(full, lleno)
(empty, vacío)
(open, abierto)
(close, cerrar)
(start, empezar)
(finish, terminar)
(work, trabajo)
(play, jugar)
(run, correr)
(walk, caminar)
(eat, comer)
(drink, beber)
(sleep, dormir)
(read, leer)
(write, escribir)
(speak, hablar)
(listen, escuchar)
(see, ver)
(look, mirar)
(buy, comprar)
(sell, vender)
(pay, pagar)
(give, dar)
(take, tomar)
(make, hacer)
(go, ir)
(come, venir)
(live, vivir)
(study, estudiar)
(learn, aprender)
(teach, enseñar)
(think, pensar)
(know, saber)
(understand, entender)
(remember, recordar)
(forget, olvidar)
(love, amar)
(like, gustar)
(need, necesitar)
(want, querer)
(use, usar)
(find, encontrar)
(lose, perder)
(win, ganar)
(help, ayudar)
(call, llamar)
(answer, responder)
(wait, esperar)
(try, intentar)
(open, abrir)
(close, cerrar)
(turn, girar)
(move, mover)
(stop, parar)
(build, construir)
(break, romper)
(cut, cortar)
(wash, lavar)
(clean, limpiar)
(cook, cocinar)
(drive, conducir)
(travel, viajar)
(arrive, llegar)
(leave, salir)
(enter, entrar)
(stay, quedarse)
(visit, visitar)
(meet, conocer)
(laugh, reír)
(cry, llorar)
(smile, sonreír)
(shout, gritar)
(whisper, susurrar)
(sing, cantar)
(dance, bailar)
(draw, dibujar)
(paint, pintar)
(create, crear)
(open, abrir)
(close, cerrar)
(push, empujar)
(pull, jalar)
(carry, llevar)
(bring, traer)
(send, enviar)
(receive, recibir)
(share, compartir)
(choose, elegir)
(decide, decidir)
(plan, planear)
(prepare, preparar)
(start, iniciar)
(end, terminar)
(change, cambiar)
(improve, mejorar)
(reduce, reducir)
(increase, aumentar)
(add, agregar)
(remove, quitar)
(include, incluir)
(exclude, excluir)
(agree, estar de acuerdo)
(disagree, estar en desacuerdo)
(accept, aceptar)
(refuse, rechazar)
(allow, permitir)
(forbid, prohibir)
(remember, recordar)
(forget, olvidar)
(hope, esperar)
(believe, creer)
(doubt, dudar)
(trust, confiar)
(respect, respetar)
(support, apoyar)
(protect, proteger)
(defend, defender)
(attack, atacar)
(save, salvar)
(risk, arriesgar)
(win, ganar)
(lose, perder)
(fail, fallar)
(succeed, tener éxito)
(air, aire)
(fire, fuego)
(earth, tierra)
(wind, viento)
(rain, lluvia)
(storm, tormenta)
(sky, cielo)
(cloud, nube)
(star, estrella)
(sea, mar)
(river, río)
(lake, lago)
(mountain, montaña)
(forest, bosque)
(tree, árbol)
(flower, flor)
(grass, césped)
(sand, arena)
(stone, piedra)
(road, camino)
(bridge, puente)
(building, edificio)
(room, habitación)
(door, puerta)
(window, ventana)
(floor, piso)
(wall, pared)
(roof, techo)
(kitchen, cocina)
(bathroom, baño)
(bedroom, dormitorio)
(table, mesa)
(chair, silla)
(bed, cama)
(sofa, sofá)
(light, luz)
(lamp, lámpara)
(clock, reloj)
(phone, teléfono)
(computer, computadora)
(screen, pantalla)
(keyboard, teclado)
(mouse, ratón)
(internet, internet)
(password, contraseña)
(game, juego)
(toy, juguete)
(ball, pelota)
(team, equipo)
(player, jugador)
(score, puntaje)
(win, ganar)
(lose, perder)
(draw, empate)
(train, tren)
(bus, autobús)
(bike, bicicleta)
(plane, avión)
(airport, aeropuerto)
(ticket, boleto)
(journey, viaje)
(map, mapa)
(direction, dirección)
(north, norte)
(south, sur)
(east, este)
(west, oeste)
(money, dinero)
(price, precio)
(shop, tienda)
(store, almacén)
(market, mercado)
(customer, cliente)
(cash, efectivo)
(card, tarjeta)
(bank, banco)
(job, empleo)
(worker, trabajador)
(boss, jefe)
(company, empresa)
(office, oficina)
(meeting, reunión)
(project, proyecto)
(result, resultado)
(success, éxito)
(failure, fracaso)
(problem, problema)
(solution, solución)
(question, pregunta)
(answer, respuesta)
(idea, idea)
(plan, plan)
(goal, meta)
(dream, sueño)
(future, futuro)
(past, pasado)
(present, presente)
(time, tiempo)
(hour, hora)
(minute, minuto)
(second, segundo)
(week, semana)
(month, mes)
(year, año)
(today, hoy)
(tomorrow, mañana)
(yesterday, ayer)
(morning, mañana)
(afternoon, tarde)
(evening, noche)
(always, siempre)
(never, nunca)
(sometimes, a veces)
(often, a menudo)
(rarely, raramente)
(here, aquí)
(there, allí)
(everywhere, en todas partes)
(nowhere, en ninguna parte)
(inside, dentro)
(outside, fuera)
(above, arriba)
(below, abajo)
(before, antes)
(after, después)
(early, temprano)
(late, tarde)
(near, cerca)
(far, lejos)
(right, derecha)
(left, izquierda)
(center, centro)
(front, frente)
(back, atrás)
(strong, fuerte)
(weak, débil)
(heavy, pesado)
(light, ligero)
(soft, suave)
(hard, duro)
(sweet, dulce)
(sour, agrio)
(bitter, amargo)
(salty, salado)
(fresh, fresco)
(dry, seco)
(wet, mojado)
(noisy, ruidoso)
(quiet, silencioso)
(bright, brillante)
(dark, oscuro)
(color, color)
(red, rojo)
(blue, azul)
(green, verde)
(yellow, amarillo)
(black, negro)
(white, blanco)
(brown, marrón)
(pink, rosado)
(purple, morado)
(gray, gris)
(gold, dorado)
(silver, plateado)
(clothes, ropa)
(shirt, camisa)
(pants, pantalones)
(shoes, zapatos)
(dress, vestido)
(jacket, chaqueta)
(hat, sombrero)
(socks, calcetines)
(glasses, lentes)
(body, cuerpo)
(head, cabeza)
(face, cara)
(eye, ojo)
(ear, oreja)
(nose, nariz)
(mouth, boca)
(hand, mano)
(arm, brazo)
(leg, pierna)
(foot, pie)
(heart, corazón)
(mind, mente)
(health, salud)
(sick, enfermo)
(doctor, doctor)
(hospital, hospital)
(medicine, medicina)
(pain, dolor)
(cure, cura)
(exercise, ejercicio)
(sport, deporte)
(run, correr)
(swim, nadar)
(jump, saltar)
(climb, escalar)
(play, jugar)
(rest, descansar)
(workout, entrenamiento)
(ability, habilidad)
(activity, actividad)
(advice, consejo)
(age, edad)
